name,image,category,trailer,stars,platform
SuperPadre-Vacaciones de Verano,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652303/NarcisoIPTV/SuperpadreVacacionesDeVerano_hjycgf.jpg,Kids,https://www.youtube.com/watch?v=KS3i1Kt_y7Q,4,Prime Video
Carlitos y el campo de sueños,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652420/NarcisoIPTV/carlitos_y_el_campo_de_los_suenos_kdtzvo.jpg,Kids,https://www.youtube.com/watch?v=2tRSUT_qpzc,3,Prime Video
Ballerina,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652554/NarcisoIPTV/ballerina_gtkist.jpg,Kids,https://www.youtube.com/watch?v=CDPcawduyy0,3,Prime Video
Operación Ártico,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652628/NarcisoIPTV/operasjon_arktis_operation_blghhd.jpg,Kids,https://www.youtube.com/watch?v=yfkV8lkQmkk,3,Prime Video
Mi amigo el gigante,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652704/NarcisoIPTV/riendly_giant_r788vf.jpg,Kids,https://www.youtube.com/watch?v=QbvYDkr7sWY,4, Prime Video
SuperPadre-Fobia a las alturas,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714652821/NarcisoIPTV/fobiaAlturas_lvnlwo.jpg,Kids,https://www.youtube.com/watch?v=HlCSYuwmVmU&t=15s,2,Prime Video
Mi mascota es un dinosaurio,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714653395/NarcisoIPTV/JurassicPet_tmgh0y.jpg,Kids,https://www.youtube.com/watch?v=oG0SvCMttD0,4,Prime Video
Abulele,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714653466/NarcisoIPTV/abulele_rstbzb.jpg,Kids,https://www.youtube.com/watch?v=1UP7t2CZjmU,3,Prime Video
El bebé Jefazo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714653525/NarcisoIPTV/the_boss_baby_pxlsgy.jpg,Kids,https://www.youtube.com/watch?v=7qsk3-dzcfc,4, Prime Video
Troop Zero,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714653598/NarcisoIPTV/troop_zero_xlfiao.jpg,Kids,https://www.youtube.com/watch?v=Gi4C6GncmQ4,4,Prime Video
Actos de Venganza,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741031/NarcisoIPTV/acts_of_vengeance_ze9ok5.jpg,Action,https://www.youtube.com/watch?v=HKdv_NKFbwI,3,Hbo Max
Al filo del mañana,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741152/NarcisoIPTV/edge_of_tomorrow_lla3z1.jpg,Action,https://www.youtube.com/watch?v=Qd0_qYIhMZA,4,Hbo Max
Aquaman,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741208/NarcisoIPTV/aquaman_dhtump.jpg,Action,https://www.youtube.com/watch?v=mR0FHXJlpxg&t=4s,3,Hbo Max
Aquaman II El Reino Perdido,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741309/NarcisoIPTV/aquaman2_fllele.jpg,Action,https://www.youtube.com/watch?v=UTiKi-uRY1o,4,Hbo Max
Black Adam,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741365/NarcisoIPTV/black_adam_bgtqge.jpg,Action,https://www.youtube.com/watch?v=6FvFxKrdbew,3,Hbo Max
Blue Beetle,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741473/NarcisoIPTV/blue_beetle_z8dfle.jpg,Action,https://www.youtube.com/watch?v=I4nNE4jB5rc,4,Hbo Max
CatWoman,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741515/NarcisoIPTV/catwoman_m87wbu.jpg,Action,https://www.youtube.com/watch?v=7FhB4NRslps,3,Hbo Max
Contagio,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741602/NarcisoIPTV/contagion_nghrmn.jpg,Action,https://www.youtube.com/watch?v=lR08KACs988,4,Hbo Max
DeadWood,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741693/NarcisoIPTV/deadwood_the_movie_hbaofn.jpg,Action,https://www.youtube.com/watch?v=hcvmJ2gEKLk,3,Hbo Max
El destino de Jupiter,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741817/NarcisoIPTV/jupiter_ascending_tb6ewr.jpg,Action,https://www.youtube.com/watch?v=tKz2Z5l8uL8,4,Hbo Max
Dunkerque,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741861/NarcisoIPTV/dunkirk_p36emb.jpg,Action,https://www.youtube.com/watch?v=DsRcqwGOmUU,2,Hbo Max
Eraser Renacer,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714741948/NarcisoIPTV/eraser_reborn_ojundz.jpg,Action,https://www.youtube.com/watch?v=lRsBMCQHiSw,3,Hbo Max
Escuadrón Suicida,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742032/NarcisoIPTV/the_suicide_squad_qevczw.jpg,Action,https://www.youtube.com/watch?v=hZP6bAni_kc,4,Hbo Max
Furia de Titanes,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742110/NarcisoIPTV/clash_of_the_titans_nejhwi.jpg,Action,https://www.youtube.com/watch?v=_dwKcW2vC58,4,Hbo Max
Geostorm,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742212/NarcisoIPTV/geostorm_qtuk90.jpg,Action,https://www.youtube.com/watch?v=sg8KPfyh-b8,3,Hbo Max
Invasión,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742269/NarcisoIPTV/invasion_uubah9.jpg,Action,https://www.youtube.com/watch?v=5H80VhwzaQI,4,Hbo Max
La leyenda de Tarzán,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742344/NarcisoIPTV/the_legend_of_tarzan_pznuql.jpg,Action,https://www.youtube.com/watch?v=VEEYWTPvmis&t=3s,4,Hbo Max
Megalodon,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742430/NarcisoIPTV/the_meg_jkjlpq.jpg,Action,https://www.youtube.com/watch?v=1sUbOSVTdgg&t=3s,4,Hbo Max
Algo bonito Para Variar,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742489/NarcisoIPTV/algoBonito_ohsxxw.jpg,Comedy,https://www.youtube.com/watch?v=-g_PMEZmves,3,Hbo Max
La espía que me achuchó,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742754/NarcisoIPTV/austin_spy_pewkc9.jpg,Comedy,https://www.youtube.com/watch?v=Vt3qDZWk6M8,4,Hbo Max
Austin Powers en Miembro de Oro,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742859/NarcisoIPTV/austin_powers_in_goldmember_mmxqlt.jpg,Comedy,https://www.youtube.com/watch?v=Cn61eTuN5Bk,4,Hbo Max
Barbie,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714742990/NarcisoIPTV/barbie_iucyhy.jpg,Comedy,https://www.youtube.com/watch?v=vsJgLu3PIno,3,Hbo Max
Bendito Alcoholismo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714743083/NarcisoIPTV/wishful_drinking-747537490-large_alz1oy.jpg,Comedy,https://www.youtube.com/watch?v=dnx1sA9R1IA,4,Hbo Max
